Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5853130,2018-01-09 11:04:12,2017-07-20 15:22:13,727049,364978598,727049,502,206,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853130.sralite.1,SRX3022480,DNA_UCF01,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371749,SAMN07373705,simple,1256227,indoor metagenome,UCF01,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,8A760F4D8D4C766D246168DBC2E1A7BD,9AA61F002E582B5793BC5BE9FF0B9E09
SRR5853131,2018-01-09 11:04:12,2017-07-20 15:22:27,442961,222366422,442961,502,123,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853131.sralite.1,SRX3022479,DNA_UCF02,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371748,SAMN07373706,simple,1256227,indoor metagenome,UCF02,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,FEFFB09063754366C9E4734CA5F7258A,9F76E896C7BEBED2B9D529DCEA0ECC2C
SRR5853127,2018-01-09 11:04:12,2017-07-20 15:21:52,476257,239081014,476257,502,138,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853127.sralite.1,SRX3022482,DNA_UCF03,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371751,SAMN07373707,simple,1256227,indoor metagenome,UCF03,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,CD9AB2F38D1EA22EE5B6422B01FE9B92,2DB3E57B597D1D880FFA8D9EFD6A76B3
SRR5853129,2018-01-09 11:04:12,2017-07-20 15:22:07,625241,313870982,625241,502,178,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853129.sralite.1,SRX3022481,DNA_UCF04,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371750,SAMN07373708,simple,1256227,indoor metagenome,UCF04,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,F130BC757AFCFA05E1A7EA03F814ECAD,1E7FD63253C4993FEABC93E9567E30C3
SRR5853125,2018-01-09 11:04:12,2017-07-20 15:21:53,681082,341903164,681082,502,190,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853125.sralite.1,SRX3022484,DNA_UCF05,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371752,SAMN07373709,simple,1256227,indoor metagenome,UCF05,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,B3D5791BEDA7D3B074F3BA92970E274F,CDCDB5F61950CB0A74699503A5363D2B
SRR5853126,2018-01-09 11:04:12,2017-07-20 15:22:08,709930,356384860,709930,502,200,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853126.sralite.1,SRX3022483,DNA_UCF06,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371753,SAMN07373710,simple,1256227,indoor metagenome,UCF06,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,D107BEC54CD8A26DF5CC362506D3A4B0,7A66091265A0E3637CE18004C1A3201D
SRR5853124,2018-01-09 11:04:12,2017-07-20 15:22:05,789167,396161834,789167,502,220,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853124.sralite.1,SRX3022486,DNA_UCF07,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371755,SAMN07373711,simple,1256227,indoor metagenome,UCF07,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,624C8192B53234A1F0F936C065669BE6,E5B8C7B2C9AA5BA5C82DC60207F91347
SRR5853128,2018-01-09 11:04:12,2017-07-20 15:22:17,721372,362128744,721372,502,203,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853128.sralite.1,SRX3022485,DNA_UCF08,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371754,SAMN07373712,simple,1256227,indoor metagenome,UCF08,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,2B2C4E8D0C73608903B3C8FB82B95E87,9A79B8F96A3B839DB5A7972207B30351
SRR5853122,2018-01-09 11:04:12,2017-07-20 15:21:33,587623,294986746,587623,502,166,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853122.sralite.1,SRX3022488,DNA_UCF09,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371756,SAMN07373713,simple,1256227,indoor metagenome,UCF09,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,0CB673DC80200B1ADC20C17A7CC51D9C,22999C1E15F25D9B4203A0693327346F
SRR5853123,2018-01-09 11:04:12,2017-07-20 15:21:36,486838,244392676,486838,502,136,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853123.sralite.1,SRX3022487,DNA_UCF10,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371757,SAMN07373714,simple,1256227,indoor metagenome,UCF10,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,9071117D33417AEA031E5ED6C8C883D7,E63ED7579706B4E32729EACACE9B2C64
SRR5853138,2018-01-09 11:04:12,2017-07-20 15:22:13,684759,343749018,684759,502,192,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853138.sralite.1,SRX3022472,DNA_UCF11,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371741,SAMN07373715,simple,1256227,indoor metagenome,UCF11,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,5E05D2B5D185292DD29D4F82E02BC2C9,38013627A7948BE34573A016EF540B38
SRR5853139,2018-01-09 11:04:12,2017-07-20 15:22:18,734212,368574424,734212,502,205,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853139.sralite.1,SRX3022471,DNA_UCF12,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371740,SAMN07373716,simple,1256227,indoor metagenome,UCF12,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,C367B7D845EF1CF132EE2ACCE70E67FF,40374F5F311564B4B9290CB1C5A48F96
SRR5853136,2018-01-09 11:04:12,2017-07-20 15:22:20,841980,422673960,841980,502,237,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853136.sralite.1,SRX3022474,DNA_UCF13,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371744,SAMN07373717,simple,1256227,indoor metagenome,UCF13,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,2C2AE391AC3D5AE7CF4052919DB19F3A,5787BAE4C2A8519347C0C47AFB0BC597
SRR5853137,2018-01-09 11:04:12,2017-07-20 15:22:13,684650,343694300,684650,502,192,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853137.sralite.1,SRX3022473,DNA_UCF14,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371742,SAMN07373718,simple,1256227,indoor metagenome,UCF14,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,237C1E283BF6DAD5591E617743B636DE,8628ED7EF0C8D4EE9D75FC9E95833569
SRR5853134,2018-01-09 11:04:12,2017-07-20 15:22:08,573280,287786560,573280,502,175,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853134.sralite.1,SRX3022476,RNA_UCF15,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371746,SAMN07373719,simple,1256227,indoor metagenome,UCF15,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,679329642BDA0A281D871864960CD88F,6895B5E4EFE37CD88C44D8BED96174E0
SRR5853135,2018-01-09 11:04:12,2017-07-20 15:22:10,631931,317229362,631931,502,193,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853135.sralite.1,SRX3022475,RNA_UCF16,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371743,SAMN07373720,simple,1256227,indoor metagenome,UCF16,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,7ACB7107DADF2D5DDF4A0FB8160DE2CE,993E650CC051696A284BD10F98A01AFB
SRR5853132,2018-01-09 11:04:12,2017-07-20 15:22:10,629459,315988418,629459,502,185,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853132.sralite.1,SRX3022478,RNA_UCF17,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371747,SAMN07373721,simple,1256227,indoor metagenome,UCF17,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,9B71306AEAAA4E355AA1BD95BEC87AEA,B8C6534D6553CA4AAEB6CA9C89DE4864
SRR5853133,2018-01-09 11:04:12,2017-07-20 15:22:49,697325,350057150,697325,502,202,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853133.sralite.1,SRX3022477,RNA_UCF18,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371745,SAMN07373722,simple,1256227,indoor metagenome,UCF18,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,67A17BBE777FFCFF0DD36CD0DFE32262,BD41BDFD75639262E5F353577B5DA5F4
SRR5853140,2018-01-09 11:04:12,2017-07-20 15:22:16,645454,324017908,645454,502,190,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853140.sralite.1,SRX3022470,RNA_UCF19,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371739,SAMN07373723,simple,1256227,indoor metagenome,UCF19,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,41F5241186D6CAE37738BB9FA1EE159D,37CB61FAB569CAD1B13E938AD9181325
SRR5853141,2018-01-09 11:04:12,2017-07-20 15:22:13,602937,302674374,602937,502,174,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853141.sralite.1,SRX3022469,RNA_UCF20,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371738,SAMN07373724,simple,1256227,indoor metagenome,UCF20,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,05E159708E80C9AEF9E97CCDD3B9EBB7,1297CFA538006BBB433F6252FAE99353
SRR5853149,2018-01-09 11:04:11,2017-07-20 15:22:44,736633,369789766,736633,502,200,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/853/SRR5853149.sralite.1,SRX3022461,RNA_UCF21,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP113244,PRJNA395239,2,395239,SRS2371730,SAMN07373725,simple,1256227,indoor metagenome,UCF21,,,,,,,no,,,,,UNIVERSITY OF SOUTH FLORIDA,SRA589602,,public,316F39BE47CE214058D7473A77FBA005,5F922230617B972AB93D2B1F63ABF882
