Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10002688,2020-08-21 00:02:14,2019-08-20 14:28:26,1191556,359849912,1191556,302,174,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002688/SRR10002688.lite.1,SRX6741863,SL335740,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292710,SAMN12606848,simple,655179,air metagenome,gCSD17-ASC9,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,2DB5F2EB5CC5540FA584698BC587B202,663F06BBAD645608E72099C602C9A535
SRR10002697,2020-08-21 00:02:14,2019-08-20 14:31:31,4613096,1393154992,4613096,302,596,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002697/SRR10002697.lite.1,SRX6741854,SL335742,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292701,SAMN12606628,simple,655179,air metagenome,gCSD17-DEN-AS01,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,C1E8E7A8750806B54DF3A6EFD5DEE347,C54D9DDEF47BE91060718550A44F5244
SRR10002698,2020-08-21 00:02:14,2019-08-20 14:30:55,4154566,1254678932,4154566,302,551,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002698/SRR10002698.lite.1,SRX6741853,SL335743,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292700,SAMN12606629,simple,655179,air metagenome,gCSD17-DEN-AS02,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,FF0744BFF30334C2EB7708ACCECD5A5B,2416DEA6CDF61C2DD6E9317C4324FD7E
SRR10002691,2020-08-21 00:02:14,2019-08-20 14:28:43,2474398,747268196,2474398,302,344,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002691/SRR10002691.lite.1,SRX6741860,SL335744,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292707,SAMN12606630,simple,655179,air metagenome,gCSD17-DEN-AS03,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,BD2AD35D522F50C948A56D71EF34524D,DE8D8D63159DF8FBFDC3B59847AEFDDC
SRR10002692,2020-08-21 00:02:14,2019-08-20 14:30:05,5117827,1545583754,5117827,302,677,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002692/SRR10002692.lite.1,SRX6741859,SL335745,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292706,SAMN12606631,simple,655179,air metagenome,gCSD17-DEN-AS04,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,2F2A0CB0BCCBB72D850AAEF2F12D61BF,B3E59424FB497D9336C6BA4A219C46CA
SRR10002693,2020-08-21 00:02:14,2019-08-20 14:30:25,4531618,1368548636,4531618,302,608,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002693/SRR10002693.lite.1,SRX6741858,SL335746,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292705,SAMN12606632,simple,655179,air metagenome,gCSD17-DEN-AS05,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,68A617EE7AC77F50598EDED840E4A9E5,894ACD2E77AF8B5A0A955945EDCEB079
SRR10002694,2020-08-21 00:02:14,2019-08-20 14:30:41,4580939,1383443578,4580939,302,632,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002694/SRR10002694.lite.1,SRX6741857,SL335747,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292704,SAMN12606633,simple,655179,air metagenome,gCSD17-DEN-AS06,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,D5E054BF7DC46226FE5A5E97AC29B553,396062ADB4E05481B7B5DB9D0AF28F01
SRR10002689,2020-08-21 00:02:14,2019-08-20 14:31:06,4459197,1346677494,4459197,302,612,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002689/SRR10002689.lite.1,SRX6741862,SL335748,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292709,SAMN12606634,simple,655179,air metagenome,gCSD17-DEN-AS07,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,D02027D488DE3C1B326FB73AD6C74256,C8F13216DC792814132A365AAEFFAAA7
SRR10002690,2020-08-21 00:02:14,2019-08-20 14:30:24,4802565,1450374630,4802565,302,630,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002690/SRR10002690.lite.1,SRX6741861,SL335749,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292708,SAMN12606635,simple,655179,air metagenome,gCSD17-DEN-AS08,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,53DAADE8D726646344620587EBF55A82,5280632722557FE4956F8C9D8942D926
SRR10002728,2020-08-21 00:02:13,2019-08-20 14:33:51,5908864,1784476928,5908864,302,665,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10002/SRR10002728/SRR10002728.lite.1,SRX6741824,SL310981,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218814,PRJNA561080,,561080,SRS5292671,SAMN12606806,simple,655179,air metagenome,gCSD17-HKG-AS47,,,,,,,no,,,,,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),SRA944895,,public,02B33430C14F9809922D167576655876,A149BBFA61C7F06571ABE84DD54103A4
